platform_label,fixture_id,fixture_family,encoder,sequence_id,generation,checkpoint,policy,policy_action,source_strict_accept,output_strict_accept,application_segment_count,application_metadata_bytes,metadata_state_sha256,metadata_changed_from_previous,original_envelope_contract_applicable,original_envelope_byte_exact,semantic_contract_applicable,supported_semantics_retained,output_exif_orientation,output_icc_profile_sha256,compressed_core_sha256,jpeg_size_bytes,jpeg_sha256,output_bgr_sha256,jpeg_changed_from_previous,pixels_exact_to_previous,mean_absolute_error_to_previous,maximum_absolute_error_to_previous,pixels_exact_to_generation_zero,mean_absolute_error_to_generation_zero,maximum_absolute_error_to_generation_zero
ubuntu-x64-scalar,rgb_control,control,pillow,normalize_then_strip,8,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,normalize_then_strip,9,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,normalize_then_strip,10,1,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,0,1,source,source_control,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,0,n/a,0,n/a,,,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,2704,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,n/a,n/a,nan,nan,1,0.000000000,0
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,1,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,1,0,0.036680912,7,0,0.036680912,7
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,2,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,2706,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,fa392d3fefebc5ee8586dcc880964ad705c75ee695f6f8858a0df8f0d019145a,1,0,0.012019231,4,0,0.047453704,11
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,3,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,1,0,0.006944444,8,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,4,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,5,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,6,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,7,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,8,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,9,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_repeat,10,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,0,1,source,source_control,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,0,n/a,0,n/a,,,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,2704,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,n/a,n/a,nan,nan,1,0.000000000,0
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,1,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,1,0,0.036680912,7,0,0.036680912,7
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,2,1,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,2706,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,fa392d3fefebc5ee8586dcc880964ad705c75ee695f6f8858a0df8f0d019145a,1,0,0.012019231,4,0,0.047453704,11
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,3,0,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,1,0,0.006944444,8,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,4,0,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,5,1,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,6,0,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,7,0,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,8,0,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,9,0,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,preserve_then_normalize,10,1,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,0,1,source,source_control,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,0,n/a,0,n/a,,,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,2704,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,n/a,n/a,nan,nan,1,0.000000000,0
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,1,1,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,1,0,0.036680912,7,0,0.036680912,7
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,2,1,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,2706,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,fa392d3fefebc5ee8586dcc880964ad705c75ee695f6f8858a0df8f0d019145a,1,0,0.012019231,4,0,0.047453704,11
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,3,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,1,0,0.006944444,8,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,4,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,5,1,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,6,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,7,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,8,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,9,0,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_repeat,10,1,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,0,1,source,source_control,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,0,n/a,0,n/a,,,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,2704,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,n/a,n/a,nan,nan,1,0.000000000,0
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,1,1,strip,strip_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,1,0,0.036680912,7,0,0.036680912,7
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,2,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,2706,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,fa392d3fefebc5ee8586dcc880964ad705c75ee695f6f8858a0df8f0d019145a,1,0,0.012019231,4,0,0.047453704,11
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,3,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,1,0,0.006944444,8,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,4,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,5,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,6,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,7,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,8,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,9,0,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
ubuntu-x64-scalar,rgb_control,control,pillow,strip_then_preserve,10,1,preserve,no_input_envelope,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,n/a,0,n/a,,,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,2706,02f25bc3df2053006be8a8e8947939fba0d1a023d24e482b71ccce3bccdbf3b5,7a3e97647ea757e104d7601537f8f80594f1dca0c7eba034b6de287a62c1cbcd,0,1,0.000000000,0,0,0.053329772,18
windows-x64-default,app15_large_valid,resource_boundary,opencv,normalize_repeat,0,1,source,source_control,1,1,1,60004,58cea7840fa4fa42a38156b5db1387e588c5e796a9ae558cfb4d5fb8c2d0c3ea,n/a,1,1,0,n/a,,,f8634bfb6925b391c5257f0a13320e6e1af8979ca75e329f452854bd8c74debf,62708,d9fce7604b06dbb4253e8e9fea04cb7b41ff4773a0d9cebeb791bb6193cae27a,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,n/a,n/a,nan,nan,1,0.000000000,0
windows-x64-default,app15_large_valid,resource_boundary,opencv,normalize_repeat,1,1,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,1,0,0,n/a,,,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,1,0,0.036680912,7,0,0.036680912,7
windows-x64-default,app15_large_valid,resource_boundary,opencv,normalize_repeat,2,1,normalize,strip_unsupported_input_metadata,1,1,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,1,0,0,n/a,,,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,2706,fb74b1cda8cc0924a857ecbbca52b5738fab2364db8d6102fc8a92ae6c88c488,fa392d3fefebc5ee8586dcc880964ad705c75ee695f6f8858a0df8f0d019145a,1,0,0.012019231,4,0,0.047453704,11
